d,score
1,3
1,3
1,2
1,3
1,3
1,4
1,3
1,3
1,3
1,2
1,2
1,3
1,2
1,3
1,3
1,2
1,3
1,3
1,2
1,3
1,2
1,2
1,4
1,2
1,3
1,2
1,2
1,2
1,2
1,3
1,2
1,3
1,2
1,3
1,2
1,3
1,3
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,3
1,3
1,3
1,2
1,3
1,5
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,3
1,3
1,2
1,2
1,2
1,3
1,3
1,3
1,2
1,2
1,2
1,3
1,3
1,3
1,2
1,3
1,3
1,3
1,3
1,2
1,2
1,2
1,2
1,3
1,2
1,3
1,3
1,2
1,3
1,3
1,3
1,2
1,3
1,3
1,3
1,2
1,3
1,3
1,2
1,2
1,2
1,3
1,3
1,2
1,2
1,3
1,3
1,2
1,3
1,2
1,3
1,3
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,3
1,2
1,2
1,3
1,2
1,2
1,3
1,4
1,2
1,2
1,3
1,3
1,4
1,2
1,3
1,3
1,2
1,3
1,4
1,3
1,2
1,3
1,2
1,3
1,3
1,2
1,3
1,3
1,2
1,3
1,2
1,3
1,3
1,2
1,2
1,2
1,3
1,3
1,3
1,2
1,2
1,3
1,2
1,3
1,3
1,3
1,2
1,3
1,4
1,3
1,2
1,3
1,3
1,2
1,3
1,3
1,3
1,4
1,2
1,2
1,3
1,2
1,3
1,2
1,2
1,3
1,3
1,3
1,3
1,2
1,3
1,2
1,3
1,4
1,2
1,3
1,3
1,2
1,3
1,3
1,2
1,3
1,3
1,2
1,4
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,3
1,2
1,2
1,3
1,3
1,2
1,3
1,2
1,2
1,3
1,3
1,3
1,2
1,2
1,2
1,3
1,3
1,4
1,3
1,3
1,3
1,2
1,3
1,2
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,3
1,2
1,2
1,2
1,3
1,2
1,2
1,3
1,2
1,3
1,2
1,3
1,2
1,3
1,2
1,2
1,3
1,3
1,3
1,2
1,3
1,2
1,2
1,2
1,2
1,2
1,3
1,2
1,3
1,2
1,3
1,3
1,3
1,3
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,2
1,3
1,2
1,3
1,2
1,3
1,3
1,2
1,3
1,2
1,3
1,3
1,3
1,3
1,3
1,2
1,3
1,4
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,3
1,3
1,2
1,2
1,2
1,2
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,2
1,4
1,3
1,3
1,2
1,3
1,3
1,2
1,3
1,3
1,3
1,2
1,3
1,3
1,3
1,4
1,2
1,2
1,3
1,3
1,3
1,2
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,3
1,2
1,3
1,3
1,2
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,2
1,2
1,3
1,3
1,4
1,2
1,3
1,3
1,3
1,2
1,3
1,3
1,3
1,3
1,2
1,3
1,4
1,2
1,3
1,3
1,3
1,2
1,4
1,3
1,3
1,3
1,2
1,2
1,2
1,3
1,3
1,3
1,2
1,3
1,3
1,2
1,2
1,2
1,2
1,3
1,2
1,2
1,3
1,2
1,3
1,2
1,3
1,4
1,3
1,3
1,3
1,2
1,2
1,2
1,3
1,3
1,2
1,2
1,2
1,2
1,2
1,3
1,2
1,2
1,2
1,3
1,3
1,3
1,3
1,2
1,3
1,2
1,2
1,3
1,3
1,3
1,3
1,2
1,3
1,4
1,3
1,4
1,3
1,3
1,2
1,4
1,3
1,3
